node1,node2,serial class,NBI class,structure member,X,Y,objectid,structure_number_008,record_type_005a,route_prefix_005b,service_level_005c,route_number_005d,direction_005e,highway_district_002,county_code_003,place_code_004,features_desc_006a,critical_facility_006b,facility_carried_007,location_009,min_vert_clr_010,kilopoint_011,base_hwy_network_012,lrs_inv_route_013a,subroute_no_013b,lat_016,long_017,detour_kilos_019,toll_020,maintenance_021,owner_022,functional_class_026,year_built_027,traffic_lanes_on_028a,traffic_lanes_und_028b,adt_029,year_adt_030,design_load_031,appr_width_mt_032,median_code_033,degrees_skew_034,structure_flared_035,railings_036a,transitions_036b,appr_rail_036c,appr_rail_end_036d,history_037,navigation_038,nav_vert_clr_mt_039,nav_horr_clr_mt_040,open_closed_posted_041,service_on_042a,service_und_042b,structure_kind_043a,structure_type_043b,appr_kind_044a,appr_type_044b,main_unit_spans_045,appr_spans_046,horr_clr_mt_047,max_span_len_mt_048,structure_len_mt_049,left_curb_mt_050a,right_curb_mt_050b,roadway_width_mt_051,deck_width_mt_052,vert_clr_over_mt_053,vert_clr_und_ref_054a,vert_clr_und_054b,lat_und_ref_055a,lat_und_mt_055b,left_lat_und_mt_056,deck_cond_058,superstructure_cond_059,substructure_cond_060,channel_cond_061,culvert_cond_062,opr_rating_meth_063,operating_rating_064,inv_rating_meth_065,inventory_rating_066,structural_eval_067,deck_geometry_eval_068,undclrence_eval_069,posting_eval_070,waterway_eval_071,appr_road_eval_072,work_proposed_075a,work_done_by_075b,imp_len_mt_076,date_of_inspect_090,inspect_freq_months_091,fracture_092a,undwater_look_see_092b,spec_inspect_092c,fracture_last_date_093a,undwater_last_date_093b,spec_last_date_093c,bridge_imp_cost_094,roadway_imp_cost_095,total_imp_cost_096,year_of_imp_097,other_state_code_098a,other_state_pcnt_098b,othr_state_struc_no_099,strahnet_highway_100,parallel_structure_101,traffic_direction_102,temp_structure_103,highway_system_104,federal_lands_105,year_reconstructed_106,deck_structure_type_107,surface_type_108a,membrane_type_108b,deck_protection_108c,percent_adt_truck_109,national_network_110,pier_protection_111,bridge_len_ind_112,scour_critical_113,future_adt_114,year_of_future_adt_115,min_nav_clr_mt_116,fed_agency,submitted_by,bridge_condition,lowest_rating,deck_area,longdd,latdd,longdd_1,latdd_1
20,24,2,13,37 0188F,-13574432.6,4483232.678,114001,37 0188F,1,1,7,280,0,4,85,68000,'MOORPARK AVENUE',,'S280-S17 CONNECTOR','04-SCL-280-L5.49-SJS',100,5,1,280,0,37185728,121562833,6,3,1,1,11,1964,1,4,15400,2002,4,7,0,44,0,0,0,0,0,5,N,0,0,A,1,1,3,2,1,4,1,2,7,28,55,0,1,7,8,100,H,5,H,2,0,7,7,7,N,N,8,41,8,31,7,6,4,5,N,6,,,,219,24,Y24,N  ,N  ,1218,,,,,,,,,               ,1,N,1,,1,0,0,1,0,0,0,3,1,,Y,N,24607,2041,,N,6,G,7,442,,,,
20,29,0,13,37C0083,-13575768.74,4477333.008,114424,37C0083,1,4,0,0,0,4,85,0,'WINCHESTER BLVD & UP RR',,'SAN TOMAS EXPWY','AT WINCHESTER BLVD',100,0,0,,0,37162550,121571154,8,3,2,2,16,1968,6,9,62140,2014,5,28,3,5,0,1,0,0,0,5,N,0,0,A,1,4,3,2,0,0,6,0,17,18,94,0,0,26,29,100,H,7,H,2,1,5,7,7,N,N,2,52,2,28,6,5,3,5,N,7,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,7,0,,Y,N,51178,2038,0,N,6,F,5,2705,,,,
20,29,0,13,37C0083S,-13575629.59,4477337.283,114426,37C0083S,1,4,7,0,0,4,85,0,'UP RR  DELL AVE',,'SAN TOMAS EXPWY','WINCHESTER BLVD',100,0,0,,0,37162561,121570704,8,3,2,2,12,1968,1,2,9500,2010,0,7,0,0,0,1,0,0,0,5,N,0,0,A,1,4,3,2,0,0,9,0,7,21,167,0,0,7,8,100,R,7,R,2,0,5,7,7,N,N,1,40,1,24,6,6,3,5,N,7,,,,220,24,Y24,N  ,N  ,718,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,5,0,,Y,N,11448,2042,0,N,6,F,5,1316,,,,
20,29,1,13,37C0053,-13575301.82,4477092.862,114404,37C0053,1,4,1,0,0,4,85,0,'LOS GATOS CREEK',,'SAN TOMAS EXPWY','0.01 MI N SH 17',100,0,1,0,0,37161932,121565644,2,3,2,2,14,1968,9,0,62140,2014,5,37,3,13,0,1,0,0,0,5,0,0,0,A,5,5,3,2,0,0,3,0,17,15,45,1,1,34,43,100,N,0,N,0,0,7,7,7,8,N,8,59,8,45,7,5,N,5,8,7,,,,218,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,1,0,0,0,7,0,,Y,5,73452,2036,0,N,6,G,7,1939,,,,
20,29,2,18,37C0136,-13576653.11,4480167.375,114467,37C0136,1,5,0,0,0,4,85,10340,'SAN TOMAS AQUINO CREEK',,'HAMILTON AVE','AT SAN TOMAS EXPWY',100,0,1,0,0,37173843,121574014,2,3,4,4,14,1966,4,0,3000,2009,5,42,2,0,0,0,0,0,0,5,0,0,0,A,1,5,5,1,0,0,1,0,42,11,11,5,5,42,52,8,N,0,N,0,0,7,7,7,8,N,1,100,1,32,7,9,N,5,7,8,,,,218,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,2,6,0,0,5,0,,Y,8,4000,2036,,N,6,G,7,584,,,,
20,29,3,18,37C0108,-13576648.17,4479163.814,114446,37C0108,1,5,0,0,0,4,85,10340,'SAN TOMAS AQUINO CREEK',,'CAMPBELL AVE','AT SAN TOMAS AQUINO CR',100,0,0,,0,37171261,121573998,2,3,4,4,16,1966,7,0,2750,2013,5,31,2,6,0,0,0,0,0,5,0,0,0,A,1,5,5,1,0,0,1,0,31,11,11,7,5,31,43,100,N,0,N,0,0,7,7,7,8,N,1,99,1,32,7,7,N,5,7,8,,,,218,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,2,6,0,0,5,0,,Y,8,3000,2036,0,N,6,G,7,487,,,,
21,22,0,21,37 0655,-13571935.95,4487878.401,114366,37 0655,1,5,0,0,0,4,85,68000,'INTERSTATE 880',,'COLEMAN AVENUE','04-SCL-880-2.67-SJS',100,0,0,,0,37205674,121550759,1,3,1,1,16,2005,7,10,37000,2017,6,30,2,0,0,1,1,1,1,5,N,0,0,A,5,1,6,5,0,0,2,0,17,56,107,0,2,30,38,100,H,6,H,2,1,6,7,7,N,N,A,54,A,32,7,6,3,5,N,8,,,,319,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,0,0,0,3,0,,Y,N,52559,2039,,N,6,F,6,4023,,,,
21,22,1,10,37C0257,-13570122.06,4486764.812,114564,37C0257,1,5,0,0,0,4,85,68000,'GUADALUPE RIVER',,'COLEMAN AVE','NEAR VENDOME ST',100,0,0,,0,37202811,121540893,2,3,4,4,16,1958,4,0,13500,1999,0,21,2,33,0,0,0,0,0,5,0,0,0,A,5,5,2,1,0,0,4,0,9,15,52,2,2,17,25,100,N,0,N,0,0,7,7,5,7,N,1,53,1,32,5,5,N,5,7,8,,,,619,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,8,19916,2041,,N,6,F,5,1315,,,,
21,24,0,19,37 0129,-13572312.58,4487409.691,113956,37 0129,1,1,1,880,0,4,85,68000,'CALTRAIN & UP RR',,'INTERSTATE 880','04-SCL-880-2.38-SJS',100,2,1,880,1,37204469,121551977,2,3,1,1,12,1992,8,0,165000,2009,6,41,3,12,0,1,1,1,1,5,N,0,0,A,1,2,5,2,5,5,1,2,21,38,65,0,0,41,43,100,R,7,R,11,0,7,7,7,N,N,A,54,A,32,7,9,7,5,N,8,,,,319,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,1,0,0,0,10,1,,Y,N,250610,2041,,N,6,G,7,2778,,,,
21,24,1,6,37 0126,-13573911.56,4485779.288,113953,37 0126,1,1,1,880,0,4,85,68000,'BASCOM AVE',,'INTERSTATE 880','04-SCL-880-1.25-SJS',100,1,1,880,1,37200277,121561148,0,3,1,1,11,1959,8,4,154000,2009,5,32,3,19,0,1,1,1,1,5,N,0,0,A,1,1,1,4,0,0,2,2,16,13,50,0,0,32,34,100,H,5,H,2,1,5,7,7,N,N,1,73,1,44,7,4,4,5,N,8,,,,319,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,1996,1,0,0,0,3,1,,Y,N,188584,2041,,N,6,F,5,1695,,,,
