node1,node2,serial class,NBI class,structure member,X,Y,objectid,structure_number_008,record_type_005a,route_prefix_005b,service_level_005c,route_number_005d,direction_005e,highway_district_002,county_code_003,place_code_004,features_desc_006a,critical_facility_006b,facility_carried_007,location_009,min_vert_clr_010,kilopoint_011,base_hwy_network_012,lrs_inv_route_013a,subroute_no_013b,lat_016,long_017,detour_kilos_019,toll_020,maintenance_021,owner_022,functional_class_026,year_built_027,traffic_lanes_on_028a,traffic_lanes_und_028b,adt_029,year_adt_030,design_load_031,appr_width_mt_032,median_code_033,degrees_skew_034,structure_flared_035,railings_036a,transitions_036b,appr_rail_036c,appr_rail_end_036d,history_037,navigation_038,nav_vert_clr_mt_039,nav_horr_clr_mt_040,open_closed_posted_041,service_on_042a,service_und_042b,structure_kind_043a,structure_type_043b,appr_kind_044a,appr_type_044b,main_unit_spans_045,appr_spans_046,horr_clr_mt_047,max_span_len_mt_048,structure_len_mt_049,left_curb_mt_050a,right_curb_mt_050b,roadway_width_mt_051,deck_width_mt_052,vert_clr_over_mt_053,vert_clr_und_ref_054a,vert_clr_und_054b,lat_und_ref_055a,lat_und_mt_055b,left_lat_und_mt_056,deck_cond_058,superstructure_cond_059,substructure_cond_060,channel_cond_061,culvert_cond_062,opr_rating_meth_063,operating_rating_064,inv_rating_meth_065,inventory_rating_066,structural_eval_067,deck_geometry_eval_068,undclrence_eval_069,posting_eval_070,waterway_eval_071,appr_road_eval_072,work_proposed_075a,work_done_by_075b,imp_len_mt_076,date_of_inspect_090,inspect_freq_months_091,fracture_092a,undwater_look_see_092b,spec_inspect_092c,fracture_last_date_093a,undwater_last_date_093b,spec_last_date_093c,bridge_imp_cost_094,roadway_imp_cost_095,total_imp_cost_096,year_of_imp_097,other_state_code_098a,other_state_pcnt_098b,othr_state_struc_no_099,strahnet_highway_100,parallel_structure_101,traffic_direction_102,temp_structure_103,highway_system_104,federal_lands_105,year_reconstructed_106,deck_structure_type_107,surface_type_108a,membrane_type_108b,deck_protection_108c,percent_adt_truck_109,national_network_110,pier_protection_111,bridge_len_ind_112,scour_critical_113,future_adt_114,year_of_future_adt_115,min_nav_clr_mt_116,fed_agency,submitted_by,bridge_condition,lowest_rating,deck_area,longdd,latdd,longdd_1,latdd_1
28,30,1,21,37 0419,-13567273.21,4481190.469,114232,37 0419,1,4,0,0,0,4,85,68000,'STATE ROUTE 87',,'ALMADEN EXPRESSWAY','04-SCL-087-3.38-SJS',100,0,1,0,0,37180475,121523680,2,3,1,1,14,1990,6,6,12000,1998,6,25,3,25,0,1,0,0,0,5,N,0,0,A,1,4,6,5,0,0,2,0,15,38,76,0,0,25,27,100,H,5,H,3,3,7,7,7,N,N,A,54,A,32,7,5,5,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,1,0,0,0,1,0,,Y,N,32712,2041,,N,6,G,7,2027,,,,
28,30,2,13,37C0028,-13567312.17,4479936.882,114388,37C0028,1,4,1,0,0,4,85,68000,'CURTNER AVE',,'ALMADEN EXPWY','AT CURTNER AVE',100,0,1,0,0,37173250,121523806,2,3,2,2,14,1960,7,4,40560,2009,5,35,3,31,0,1,0,0,0,5,N,0,0,A,5,1,3,2,0,0,2,0,100,21,44,0,0,35,37,100,H,4,H,2,1,5,7,7,N,N,8,49,8,38,7,9,4,5,N,7,,,,220,24,N  ,N  ,Y48,,,617,,,,,,,               ,0,N,2,,1,0,1978,1,0,0,0,5,0,,Y,N,46164,2038,0,N,6,F,5,1600,,,,
28,30,3,28,37C0102,-13567789.61,4479378.744,114440,37C0102,1,5,0,0,0,4,85,0,'CANOAS CREEK',,'ALMADEN EXPWY','S/O ALMADEN RD JCT',100,0,1,0,0,37171814,121525350,2,3,2,2,14,1960,4,0,40560,2009,0,30,2,15,0,N,N,N,N,5,N,0,0,A,5,5,2,19,0,0,2,0,30,3,7,0,0,0,0,100,N,0,N,0,0,N,N,N,7,6,0,40,0,24,6,N,N,5,7,7,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,N,N,N,N,5,0,,Y,8,46754,2042,,N,6,F,6,220,,,,
28,30,4,10,37C0101,-13567873.1,4479401.286,114439,37C0101,1,4,1,0,0,4,85,0,'GUADALUPE RIVER',,'ALMADEN EXPWY','JUST S/O OLD ALMADEN RD',100,0,1,0,0,37171872,121525620,2,3,2,2,14,1961,3,0,40560,2009,5,14,0,53,0,1,0,0,0,5,0,0,0,A,5,5,2,4,0,0,3,0,14,17,53,2,1,13,16,100,N,0,N,0,0,5,7,7,6,N,8,39,8,30,7,4,N,5,7,7,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,1,0,0,1,6,0,0,5,0,,Y,5,52037,2042,,N,6,F,5,844,,,,
28,30,5,8,37C0071,-13567906.19,4478826.076,114415,37C0071,1,4,0,0,0,4,85,0,'GUADALUPE RIVER',,'ALMADEN EXPWY','0.01 MI N LINCOLN AVE',100,0,0,,0,37170392,121525727,3,3,2,2,14,1973,3,0,40840,2004,5,15,0,48,0,1,1,1,0,5,0,0,0,A,1,5,2,5,0,0,3,0,15,30,87,0,2,14,16,100,N,0,N,0,0,7,7,7,8,N,8,58,8,44,7,5,N,5,8,7,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,1,0,0,1,6,0,0,5,0,,Y,5,51178,2037,0,N,6,G,7,1382,,,,
28,30,6,20,37C0069,-13567461,4477505.54,114414,37C0069,1,4,1,0,0,4,85,0,'CAPITOL EXPRESSWAY',,'ALMADEN EXPRESSWAY','AT CAPITOL EXPWY',5,0,1,0,0,37162994,121524286,2,3,2,2,14,1974,7,7,58310,2004,5,29,3,6,0,1,0,0,0,5,N,0,0,A,5,1,6,5,0,0,2,0,33,29,58,2,0,31,33,100,H,5,H,1,2,7,7,7,N,N,1,88,1,32,7,7,3,5,N,7,,,,218,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,0,,Y,N,64057,2035,0,N,6,G,7,1899,,,,
28,31,0,21,37 0362L,-13566827.01,4480182.923,114181,37 0362L,1,3,1,87,0,4,85,68000,'CURTNER AVENUE',,'SB STATE ROUTE 87','04-SCL-087-2.84-SJS',100,3,1,87,1,37173883,121522237,2,3,1,1,12,1993,4,6,55000,2009,6,21,0,40,1,1,0,0,0,5,N,0,0,A,1,1,6,5,0,0,2,0,21,38,71,0,0,21,22,100,H,5,H,3,1,7,7,5,N,N,A,54,A,32,5,6,5,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,1,,1,0,0,1,0,0,0,1,0,,Y,N,80762,2039,,N,6,F,5,1548,,,,
28,31,0,21,37 0362R,-13566798.56,4480226.069,114182,37 0362R,1,3,1,87,0,4,85,68000,'CURTNER AVENUE',,'NB STATE ROUTE 87','04-SCL-087-2.84-SJS',100,3,1,87,1,37173994,121522145,2,3,1,1,12,1993,3,6,55000,2009,6,16,0,40,0,1,0,0,0,5,N,0,0,A,1,1,6,5,0,0,2,0,16,38,71,0,0,16,17,100,H,5,H,3,1,5,5,7,N,N,A,54,A,32,5,6,5,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,1,0,,Y,N,80762,2039,,N,6,F,5,1228,,,,
28,31,1,19,37 0433L,-13566756.5,4479969.143,114247,37 0433L,1,3,1,87,0,4,85,68000,'PEDESTRIAN WALKWAY',,'STATE ROUTE 87 SB','04-SCL-087-2.71-SJS',100,3,1,87,1,37173333,121522009,2,3,1,1,12,1992,3,0,55000,2009,6,17,0,0,1,1,0,0,0,5,N,0,0,A,1,3,5,5,0,0,1,0,18,26,26,0,0,18,18,100,N,0,N,0,0,7,5,7,N,N,A,54,A,32,5,7,N,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,2,,1,0,0,1,0,0,0,1,0,,Y,N,81301,2041,,N,6,F,5,488,,,,
28,31,2,19,37 0418L,-13566703.63,4479800.454,114230,37 0418L,1,3,1,87,0,4,85,0,'MASONIC DRIVE',,'SB STATE ROUTE 87','04-SCL-087-2.64',100,3,1,87,1,37172899,121521838,2,3,1,1,12,1993,4,2,55000,2009,6,22,0,21,1,1,1,1,1,5,N,0,0,A,1,1,5,5,0,0,1,0,20,34,35,0,0,20,22,100,H,5,H,2,0,7,5,5,N,N,A,54,A,32,5,6,5,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,1,,1,0,0,1,0,0,0,1,0,,Y,N,80762,2039,,N,6,F,5,756,,,,
